p_0,p_1,p_2,p_3,p_4,p_5,p_6,libres,ocupados,hora,dia_semana
1,1,1,1,1,1,1,0,7,1094,3
1,1,1,1,1,1,1,0,7,1086,3
1,1,1,1,1,1,1,0,7,1088,3
1,1,1,1,1,1,1,0,7,1089,3
1,1,1,1,1,1,1,0,7,525,1
1,1,1,1,1,1,1,0,7,526,1
1,1,1,1,1,1,1,0,7,527,1
1,1,1,1,1,1,1,0,7,528,1
1,1,1,1,1,1,1,0,7,529,1
1,1,1,1,1,1,1,0,7,530,1
1,1,1,1,1,1,1,0,7,531,1
1,1,1,1,1,1,1,0,7,532,1
1,1,1,1,1,1,1,0,7,1090,3
1,1,1,1,1,1,1,0,7,1091,3
1,1,1,1,1,1,1,0,7,1092,3
1,1,1,1,1,1,1,0,7,1093,3
1,1,1,1,1,1,1,0,7,537,1
1,1,1,1,1,1,1,0,7,1023,1
1,1,1,1,1,1,1,0,7,1024,1
1,1,1,1,1,1,1,0,7,540,1
1,1,1,1,1,1,1,0,7,1025,1
1,1,1,1,1,1,1,0,7,542,1
1,1,1,1,1,1,1,0,7,1085,3
1,1,1,1,1,1,1,0,7,1084,3
1,1,1,1,1,1,1,0,7,1087,3
1,1,1,1,1,1,1,0,7,1082,3
1,1,1,1,1,1,1,0,7,1083,3
1,1,1,1,1,1,1,0,7,1018,1
1,1,1,1,1,1,1,0,7,1019,1
1,1,1,1,1,1,1,0,7,1020,1
1,1,1,1,1,1,1,0,7,1017,1
1,1,1,1,1,1,1,0,7,1022,1
1,1,1,1,1,1,1,0,7,1080,3
1,1,1,1,1,1,1,0,7,1081,3
1,1,1,1,1,1,1,0,7,1021,1
1,1,1,1,1,1,0,1,6,1106,3
1,1,1,1,1,1,0,1,6,643,1
1,1,1,1,1,1,0,1,6,1107,3
1,1,1,1,1,1,0,1,6,655,1
1,1,1,1,1,1,0,1,6,1108,3
1,1,1,1,1,1,0,1,6,654,1
1,1,1,1,1,1,0,1,6,641,1
1,1,1,1,1,1,0,1,6,642,1
1,1,1,1,1,1,0,1,6,644,1
1,1,1,1,1,1,0,1,6,649,1
1,1,1,1,1,1,0,1,6,646,1
1,1,1,1,1,1,0,1,6,647,1
1,1,1,1,1,1,0,1,6,648,1
1,1,1,1,1,1,0,1,6,650,1
1,1,1,1,1,1,0,1,6,651,1
1,1,1,1,1,1,0,1,6,652,1
1,1,1,1,1,1,0,1,6,653,1
1,1,1,1,1,1,0,1,6,1105,3
1,1,1,1,1,1,0,1,6,645,1
1,1,1,1,1,1,0,1,6,1104,3
1,1,1,1,1,1,0,1,6,979,1
1,1,1,1,1,1,0,1,6,1102,3
1,1,1,1,1,0,1,1,6,1061,3
1,1,1,1,1,0,1,1,6,1062,3
1,1,1,1,1,0,1,1,6,1063,3
1,1,1,1,1,0,1,1,6,1064,3
1,1,1,1,1,0,1,1,6,1065,3
1,1,1,1,1,0,1,1,6,1066,3
1,1,1,1,1,0,1,1,6,1067,3
1,1,1,1,1,0,1,1,6,1068,3
1,1,1,1,1,0,1,1,6,1069,3
1,1,1,1,1,0,1,1,6,1070,3
1,1,1,1,1,0,1,1,6,1071,3
1,1,1,1,1,0,1,1,6,1072,3
1,1,1,1,1,0,1,1,6,1073,3
1,1,1,1,1,1,0,1,6,1103,3
1,1,1,1,1,0,1,1,6,1074,3
1,1,1,1,1,0,1,1,6,1076,3
1,1,1,1,1,0,1,1,6,1077,3
1,1,1,1,1,0,1,1,6,1078,3
1,1,1,1,1,0,1,1,6,1079,3
1,1,1,1,1,1,0,1,6,1109,3
1,1,1,1,1,1,0,1,6,1095,3
1,1,1,1,1,1,0,1,6,1096,3
1,1,1,1,1,1,0,1,6,1097,3
1,1,1,1,1,1,0,1,6,1098,3
1,1,1,1,1,1,0,1,6,656,1
1,1,1,1,1,1,0,1,6,1099,3
1,1,1,1,1,1,0,1,6,1100,3
1,1,1,1,1,1,0,1,6,1101,3
1,1,1,1,1,0,1,1,6,1075,3
1,1,1,1,1,1,0,1,6,1110,3
1,1,1,1,1,1,0,1,6,627,1
1,1,1,1,1,1,0,1,6,637,1
1,0,1,1,1,1,1,1,6,970,1
1,0,1,1,1,1,1,1,6,971,1
1,1,1,1,1,1,0,1,6,526,1
1,1,1,1,1,1,0,1,6,525,1
1,1,1,1,1,1,0,1,6,524,1
1,1,1,1,1,1,0,1,6,523,1
1,1,1,1,1,1,0,1,6,522,1
1,1,1,1,1,1,0,1,6,521,1
1,1,1,1,1,1,0,1,6,520,1
1,1,1,1,1,1,0,1,6,519,1
1,1,1,1,1,1,0,1,6,518,1
1,1,1,1,1,1,0,1,6,517,1
1,1,1,1,1,1,0,1,6,516,1
1,1,1,1,1,1,0,1,6,515,1
1,0,1,1,1,1,1,1,6,969,1
1,1,1,1,0,1,1,1,6,645,1
1,1,1,1,0,1,1,1,6,596,1
1,1,1,1,0,1,1,1,6,591,1
1,1,1,1,1,1,0,1,6,968,1
1,1,1,1,1,1,0,1,6,969,1
1,1,1,1,1,1,0,1,6,970,1
1,1,1,1,1,1,0,1,6,971,1
1,1,1,1,1,1,0,1,6,972,1
1,1,1,1,1,1,0,1,6,973,1
1,1,1,1,1,1,0,1,6,974,1
1,1,1,1,1,1,0,1,6,975,1
1,1,1,1,1,1,0,1,6,976,1
1,1,1,1,1,1,0,1,6,977,1
1,1,1,1,1,1,0,1,6,980,1
1,1,1,1,1,1,0,1,6,981,1
1,1,1,1,0,1,1,1,6,638,1
1,0,1,1,1,1,1,1,6,968,1
1,0,1,1,1,1,1,1,6,967,1
1,0,1,1,1,1,1,1,6,965,1
1,1,1,1,1,1,0,1,6,636,1
1,1,1,1,1,1,0,1,6,1111,3
1,1,1,1,1,1,0,1,6,1112,3
1,1,1,0,1,1,1,1,6,973,2
1,1,1,0,1,1,1,1,6,972,2
1,1,1,0,1,1,1,1,6,971,2
1,1,1,0,1,1,1,1,6,970,2
1,1,1,1,1,1,0,1,6,628,1
1,1,1,1,1,0,1,1,6,1060,3
1,1,1,1,1,1,0,1,6,626,1
1,1,1,1,1,1,0,1,6,625,1
1,1,1,0,1,1,1,1,6,969,2
1,1,1,1,1,1,0,1,6,623,1
1,1,1,0,1,1,1,1,6,968,2
1,1,1,1,1,1,0,1,6,621,1
1,1,1,0,1,1,1,1,6,967,2
1,1,1,1,1,1,0,1,6,619,1
1,0,1,1,1,1,1,1,6,963,1
1,0,1,1,1,1,1,1,6,962,1
1,1,1,1,1,1,0,1,6,671,2
1,1,1,1,1,1,0,1,6,605,1
1,1,1,1,1,1,0,1,6,606,1
1,1,1,1,1,1,0,1,6,607,1
1,1,1,1,1,1,0,1,6,638,1
1,1,1,1,1,1,0,1,6,608,1
1,1,1,1,1,1,0,1,6,610,1
1,1,1,1,1,1,0,1,6,612,1
1,1,1,1,1,1,0,1,6,613,1
1,1,1,1,1,1,0,1,6,614,1
1,1,1,0,1,1,1,1,6,965,2
1,1,1,0,1,1,1,1,6,966,2
1,1,1,1,1,1,0,1,6,609,1
1,1,1,1,1,0,1,1,6,1059,3
1,1,1,1,1,0,1,1,6,1049,3
1,1,1,1,1,0,1,1,6,1057,3
1,1,1,1,1,1,0,1,6,736,2
1,1,1,1,1,1,0,1,6,599,2
1,1,1,1,1,1,0,1,6,740,2
1,1,1,1,1,1,0,1,6,592,2
1,1,1,1,0,1,1,1,6,490,3
1,1,1,1,0,1,1,1,6,491,3
1,1,1,1,0,1,1,1,6,492,3
1,1,1,1,0,1,1,1,6,493,3
1,1,1,1,0,1,1,1,6,559,3
1,1,1,1,1,0,1,1,6,1033,1
1,1,1,1,1,0,1,1,6,1032,1
1,1,1,1,1,0,1,1,6,1031,1
1,1,1,1,1,0,1,1,6,1030,1
1,1,1,1,1,0,1,1,6,1029,1
1,1,1,1,1,1,0,1,6,735,2
1,1,1,1,1,0,1,1,6,1028,1
1,1,1,1,1,0,1,1,6,1026,1
1,1,1,1,1,1,0,1,6,1016,1
1,1,1,1,1,1,0,1,6,1015,1
1,1,1,1,1,1,0,1,6,1014,1
1,1,1,1,1,1,0,1,6,1013,1
1,1,1,1,1,1,0,1,6,1012,1
1,1,1,1,1,1,0,1,6,1011,1
1,1,1,1,1,1,0,1,6,1010,1
1,1,1,1,1,1,0,1,6,1009,1
1,1,1,1,1,1,0,1,6,1008,1
1,1,1,1,1,1,0,1,6,1007,1
1,1,1,1,1,1,0,1,6,1006,1
1,1,1,1,1,1,0,1,6,1005,1
1,1,1,1,1,1,0,1,6,1004,1
1,1,1,1,1,0,1,1,6,1027,1
1,1,1,1,1,1,0,1,6,1003,1
1,1,1,1,1,1,0,1,6,734,2
1,1,1,1,1,1,0,1,6,731,2
1,1,1,1,1,1,0,1,6,673,2
1,1,1,1,1,1,0,1,6,666,2
1,1,1,1,1,1,0,1,6,665,2
1,1,1,1,1,1,0,1,6,664,2
1,1,1,1,1,1,0,1,6,663,2
1,1,1,1,1,1,0,1,6,662,2
1,1,1,1,1,1,0,1,6,661,2
1,1,1,1,1,1,0,1,6,688,2
1,1,1,1,1,1,0,1,6,652,2
1,1,1,1,1,1,0,1,6,692,2
1,1,1,1,1,1,0,1,6,645,2
1,1,1,1,1,1,0,1,6,643,2
1,1,1,1,1,1,0,1,6,642,2
1,1,1,1,1,1,0,1,6,641,2
1,1,1,1,1,1,0,1,6,732,2
1,1,1,1,1,1,0,1,6,697,2
1,1,1,1,1,1,0,1,6,701,2
1,1,1,1,1,1,0,1,6,702,2
1,1,1,1,1,1,0,1,6,704,2
1,1,1,1,1,1,0,1,6,705,2
1,1,1,1,1,1,0,1,6,633,2
1,1,1,1,1,1,0,1,6,706,2
1,1,1,1,1,1,0,1,6,631,2
1,1,1,1,1,1,0,1,6,707,2
1,1,1,1,1,1,0,1,6,708,2
1,1,1,1,1,1,0,1,6,716,2
1,1,1,1,1,1,0,1,6,718,2
1,1,1,1,1,1,0,1,6,618,2
1,1,1,1,1,1,0,1,6,726,2
1,1,1,1,1,1,0,1,6,727,2
1,1,1,1,1,1,0,1,6,698,2
1,1,1,1,1,1,0,1,6,1002,1
1,1,1,1,1,1,0,1,6,1001,1
1,1,1,1,1,1,0,1,6,999,1
1,1,1,1,1,0,1,1,6,1026,3
1,1,1,1,1,0,1,1,6,1027,3
1,1,1,1,1,0,1,1,6,1028,3
1,1,1,1,1,0,1,1,6,1029,3
1,1,1,1,1,0,1,1,6,1030,3
1,1,1,1,1,0,1,1,6,1031,3
1,1,1,1,1,0,1,1,6,1033,3
1,1,1,1,1,0,1,1,6,1034,3
1,1,1,1,1,0,1,1,6,1035,3
1,1,1,1,1,0,1,1,6,1036,3
1,1,1,1,1,0,1,1,6,1037,3
1,1,1,1,1,0,1,1,6,1038,3
1,1,1,1,1,0,1,1,6,1039,3
1,1,1,1,1,0,1,1,6,1040,3
1,1,1,1,1,0,1,1,6,1025,3
1,1,1,1,1,0,1,1,6,1041,3
1,1,1,1,1,0,1,1,6,1043,3
